date,enrollments
2020-01-01,514
2020-01-31,550
2020-03-01,618
2020-03-31,670
2020-04-30,622
2020-05-30,607
2020-06-29,637
2020-07-29,588
2020-08-28,536
2020-09-27,571
2020-10-27,566
2020-11-26,611
2020-12-26,687
2021-01-25,677
2021-02-24,727
2021-03-26,788
2021-04-25,778
2021-05-25,804
2021-06-24,742
2021-07-24,702
2021-08-23,774
2021-09-22,728
2021-10-22,762
2021-11-21,762
2021-12-21,843
2022-01-20,918
2022-02-19,924
2022-03-21,996
2022-04-20,971
2022-05-20,966
2022-06-19,931
2022-07-19,980
2022-08-18,910
2022-09-17,883
2022-10-17,965
2022-11-16,948
2022-12-16,1046
2023-01-15,1036
2023-02-14,1099
2023-03-16,1170
2023-04-15,1191
2023-05-15,1160
2023-06-14,1126
2023-07-14,1095
2023-08-13,1046
2023-09-12,1073
2023-10-12,1106
2023-11-11,1196
2023-12-11,1230
2024-01-10,1222
2024-02-09,1329
2024-03-10,1333
2024-04-09,1328
2024-05-09,1353
2024-06-08,1340
2024-07-08,1312
2024-08-07,1245
2024-09-06,1265
2024-10-06,1310
2024-11-05,1374
