student_id,time_spent_minutes,completion_rate,quiz_scores,videos_watched,num_logins,forum_reads,converted
1,13.1,0.157,58.3,1,3,0.0,0
2,8.1,0.10099999999999999,37.0,1,9,0.0,0
3,27.2,0.34600000000000003,73.4,3,8,0.0,1
4,17.2,0.187,70.7,1,10,0.0,0
5,18.5,0.09,40.7,0,9,0.0,0
6,29.0,0.43200000000000005,71.5,4,16,0.0,1
7,3.0,0.145,65.1,1,5,0.0,0
8,6.2,0.278,66.7,2,7,0.0,0
9,26.1,0.254,64.4,2,11,0.0,1
10,9.4,0.214,51.4,2,2,0.0,0
11,6.6,0.149,78.4,1,7,0.0,0
12,3.5,0.08800000000000001,36.7,0,10,0.0,0
13,29.4,0.401,78.5,3,7,0.0,1
14,8.1,0.08800000000000001,50.3,0,7,0.0,0
15,12.4,0.083,70.4,0,5,0.0,0
16,10.0,0.193,60.0,1,9,0.0,0
17,13.1,0.209,48.5,1,8,0.0,0
18,10.3,0.23800000000000002,27.8,2,8,0.0,0
19,27.6,0.159,55.0,1,6,0.0,1
20,11.2,0.132,69.9,1,4,0.0,0
21,8.7,0.344,76.2,2,3,0.0,0
22,15.5,0.155,62.0,1,6,0.0,0
23,29.1,0.32299999999999995,68.5,3,15,0.0,1
24,45.1,0.539,73.1,5,12,0.0,1
25,34.0,0.402,62.0,3,8,0.0,1
26,14.3,0.205,50.5,1,7,0.0,0
27,12.2,0.032,84.7,0,9,0.0,0
28,10.5,0.049,40.4,0,9,0.0,0
29,19.1,0.076,35.2,0,12,0.0,0
30,20.3,0.34700000000000003,78.3,4,7,0.0,1
31,5.4,0.03,45.5,0,2,0.0,0
32,5.8,0.059000000000000004,54.8,0,8,0.0,0
33,3.2,0.134,52.9,1,4,0.0,0
34,4.7,0.015,44.8,0,9,0.0,0
35,14.4,0.34299999999999997,90.0,3,8,0.0,1
36,3.6,0.03,52.5,0,6,0.0,0
37,37.0,0.39299999999999996,73.1,4,8,0.0,1
38,50.0,0.594,97.6,5,15,0.0,1
39,5.6,0.385,89.0,3,11,0.0,1
40,20.7,0.349,70.2,3,6,0.0,1
41,18.5,0.221,78.4,2,7,0.0,1
