title,platform,source,views,engagement_score,date_scraped,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category
Learn Python - Full Course for Beginners [Tutorial],YouTube,YouTube - python,48000000,480000,2026-02-26T09:01:13.766635,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for Beginners,YouTube,YouTube - python,5500000,55000,2026-02-26T09:01:13.774561,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for Beginners,YouTube,YouTube - python,47000000,470000,2026-02-26T09:01:13.780439,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python for Beginners - Learn Coding with Python in 1 Hour,YouTube,YouTube - python,23000000,230000,2026-02-26T09:01:13.786080,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
APPRENDRE PYTHON [TUTO PROGRAMMATION COMPLET DÉBUTANT],YouTube,YouTube - python,3900000,39000,2026-02-26T09:01:13.791837,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for free 🐍,YouTube,YouTube - python,21000000,210000,2026-02-26T09:01:13.797218,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
كورس لغة بايثون في 300 دقيقة | برمجة من الصفر,YouTube,YouTube - python,1100000,11000,2026-02-26T09:01:13.802878,,,50.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 0.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",general
9 HOURS of Python Projects - From Beginner to Advanced,YouTube,YouTube - python,2000000,20000,2026-02-26T09:01:13.808604,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],YouTube,YouTube - python,6600000,66000,2026-02-26T09:01:13.814145,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python for AI - Full Beginner Course,YouTube,YouTube - python,473000,4730,2026-02-26T09:01:13.820940,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Machine Learning Explained in 100 Seconds,YouTube,YouTube - machine learning,1000000,10000,2026-02-26T09:02:07.067242,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Python Machine Learning Tutorial (Data Science),YouTube,YouTube - machine learning,3400000,34000,2026-02-26T09:02:07.081261,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
The Complete Machine Learning Roadmap,YouTube,YouTube - machine learning,931000,9310,2026-02-26T09:02:07.087438,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
"AI, Machine Learning, Deep Learning and Generative AI Explained",YouTube,YouTube - machine learning,2800000,28000,2026-02-26T09:02:07.093316,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
All Machine Learning algorithms explained in 17 min,YouTube,YouTube - machine learning,1800000,18000,2026-02-26T09:02:07.098788,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Machine Learning for Everybody – Full Course,YouTube,YouTube - machine learning,9600000,96000,2026-02-26T09:02:07.104819,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Machine Learning Tutorial | Machine Learning Basics | Machine Learning Algorithms | Simplilearn,YouTube,YouTube - machine learning,282000,2820,2026-02-26T09:02:07.111204,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Machine Learning Full Course | Learn Machine Learning | Machine Learning Tutorial | Simplilearn,YouTube,YouTube - machine learning,996000,9960,2026-02-26T09:02:07.117211,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Learn Machine Learning Like a GENIUS and Not Waste Time,YouTube,YouTube - machine learning,1100000,11000,2026-02-26T09:02:07.123328,35000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",machine-learning
Harvard CS50’s Artificial Intelligence with Python – Full University Course,YouTube,YouTube - machine learning,4400000,44000,2026-02-26T09:02:07.129046,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 15.0, 'engagement_score': 0.0, 'provider_score': 15, 'price_value_score': 20}",python
Data Science Tutorial | Data Science for Beginners | Data Science with Python Tutorial | Simplilearn,YouTube,YouTube - data science,186000,1860,2026-02-26T09:02:31.255233,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Learn Data Science Tutorial - Full Course for Beginners,YouTube,YouTube - data science,4300000,43000,2026-02-26T09:02:31.262428,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science With Python | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,45000,450,2026-02-26T09:02:31.268249,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Data Science Tutorial | Data Science For Beginners | What is Data Science? | Edureka,YouTube,YouTube - data science,61000,610,2026-02-26T09:02:31.273902,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Statistics For Data Science | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,353000,3530,2026-02-26T09:02:31.279279,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Python Machine Learning Tutorial (Data Science),YouTube,YouTube - data science,3400000,34000,2026-02-26T09:02:31.285079,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Data Science Tutorial for Beginners | Edureka,YouTube,YouTube - data science,10000,100,2026-02-26T09:02:31.291126,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science With Python | Python for Data Science | Python Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,404000,4040,2026-02-26T09:02:31.296478,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
What Is Data Science | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,16000,160,2026-02-26T09:02:31.301801,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science Live - 1 | Data Science Tutorial For Beginners | Data Science Training | Edureka,YouTube,YouTube - data science,13000,130,2026-02-26T09:02:31.307408,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
