date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:28	449/449	---MCZ	200	added ('OK')	text/plain	etag:W/%22693abfb1-480%22	https://www.ciklum.com/robots.txt		(from )
02:55:28	162565/162565	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jan%202026%2001:55:28%20GMT	https://www.ciklum.com/	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/index.html	(from )
02:55:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2022%20Jan%202026%2001:55:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/template/front%20lowel/front%20lllowel/www.googletagmanager.com/gtm.05445.delayed	(from https://www.ciklum.com/)
02:55:29	22821/22821	---M-Z	200	added ('OK')	text/css	etag:%22655ecea0-153d%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.css	D:/template/front%20lowel/front%20lllowel/cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.css	(from https://www.ciklum.com/)
02:55:29	6852/6852	---M-Z	200	added ('OK')	text/css	etag:%2266641e11-71f%22	https://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.2.0/magnific-popup.css	D:/template/front%20lowel/front%20lllowel/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.2.0/magnific-popup.css	(from https://www.ciklum.com/)
02:55:30	381/381	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Sep%202025%2000:24:34%20GMT	https://unpkg.com/lenis@1.3.11/dist/lenis.css	D:/template/front%20lowel/front%20lllowel/unpkg.com/lenis@1.3.11/dist/lenis.css	(from https://www.ciklum.com/)
02:55:30	213369/213369	---MCZ	200	added ('OK')	text/css	etag:W/%226965e8c0-34179%22	https://www.ciklum.com/wp-content/themes/ciklum/assets/css/main.css	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/themes/ciklum/assets/css/main.css	(from https://www.ciklum.com/)
02:55:30	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268ed058f-15601%22	https://www.ciklum.com/wp-includes/js/jquery/jquery.min.js	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-includes/js/jquery/jquery.min.js	(from https://www.ciklum.com/)
02:55:30	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268ed058f-3509%22	https://www.ciklum.com/wp-includes/js/jquery/jquery-migrate.min.js	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.ciklum.com/)
02:55:31	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2022%20Jan%202026%2001:55:31%20GMT	https://www.ciklum.com/wp-admin/admin-ajax.php	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-admin/admin-ajax.php	(from https://www.ciklum.com/)
02:55:31	11876/11876	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269662390-2e64%22	https://www.ciklum.com/wp-content/plugins/if-so/public/js/if-so-public.js	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/plugins/if-so/public/js/if-so-public.js	(from https://www.ciklum.com/)
02:55:31	12096/12096	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-2f40%22	https://www.ciklum.com/wp-content/uploads/2025/10/fav.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/fav.png	(from https://www.ciklum.com/)
02:55:31	6008/6008	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268ef9b3e-1778%22	https://www.ciklum.com/wp-content/uploads/2025/10/logo.svg	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/logo.svg	(from https://www.ciklum.com/)
02:55:31	1446/1446	---M--	200	added ('OK')	image/png	etag:%2268ef9b39-5a6%22	https://www.ciklum.com/wp-content/uploads/2025/10/fi_8599789.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/fi_8599789.png	(from https://www.ciklum.com/)
02:55:32	957/957	---M--	200	added ('OK')	image/png	etag:%2268ef9b39-3bd%22	https://www.ciklum.com/wp-content/uploads/2025/10/fi_6119491-2.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/fi_6119491-2.png	(from https://www.ciklum.com/)
02:55:32	1295/1295	---M--	200	added ('OK')	image/png	etag:%2268ef9b45-50f%22	https://www.ciklum.com/wp-content/uploads/2025/10/service-icon-3.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/service-icon-3.png	(from https://www.ciklum.com/)
02:55:32	1033/1033	---M--	200	added ('OK')	image/png	etag:%2268ef9b45-409%22	https://www.ciklum.com/wp-content/uploads/2025/10/service-icon-4.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/service-icon-4.png	(from https://www.ciklum.com/)
02:55:32	1051/1051	---M--	200	added ('OK')	image/png	etag:%2268ef9b45-41b%22	https://www.ciklum.com/wp-content/uploads/2025/10/service-icon-5.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/service-icon-5.png	(from https://www.ciklum.com/)
02:55:32	157786/157786	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jan%202026%2001:55:32%20GMT	https://www.ciklum.com/services/product-engineering-services/	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/services/product-engineering-services/index.html	(from https://www.ciklum.com/)
02:55:32	1707/1707	---M--	200	added ('OK')	image/png	etag:%2268ef9b39-6ab%22	https://www.ciklum.com/wp-content/uploads/2025/10/fi_6582502.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/fi_6582502.png	(from https://www.ciklum.com/)
02:55:33	1296/1296	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-510%22	https://www.ciklum.com/wp-content/uploads/2025/10/eng-icon-1-1.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/eng-icon-1-1.png	(from https://www.ciklum.com/)
02:55:33	940/940	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-3ac%22	https://www.ciklum.com/wp-content/uploads/2025/10/eng-icon-2-1.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/eng-icon-2-1.png	(from https://www.ciklum.com/)
02:55:33	159847/159847	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jan%202026%2001:55:33%20GMT	https://www.ciklum.com/services/experience-services/	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/services/experience-services/index.html	(from https://www.ciklum.com/)
02:55:33	1589/1589	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-635%22	https://www.ciklum.com/wp-content/uploads/2025/10/eng-icon-3-1.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/eng-icon-3-1.png	(from https://www.ciklum.com/)
02:55:34	1891/1891	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-763%22	https://www.ciklum.com/wp-content/uploads/2025/10/eng-icon-4-1.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/eng-icon-4-1.png	(from https://www.ciklum.com/)
02:55:34	1362/1362	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-552%22	https://www.ciklum.com/wp-content/uploads/2025/10/eng-icon-5-2.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/eng-icon-5-2.png	(from https://www.ciklum.com/)
02:55:34	887/887	---M--	200	added ('OK')	image/png	etag:%2268ef9b38-377%22	https://www.ciklum.com/wp-content/uploads/2025/10/ent.png	D:/template/front%20lowel/front%20lllowel/www.ciklum.com/wp-content/uploads/2025/10/ent.png	(from https://www.ciklum.com/)
