title,platform,source,views,engagement_score,date_scraped,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category
Python for Beginners - Learn Coding with Python in 1 Hour,YouTube,YouTube - python,23000000,230000,2026-02-26T03:05:09.945958,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for Beginners,YouTube,YouTube - python,47000000,470000,2026-02-26T03:05:09.954525,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Learn Python - Full Course for Beginners [Tutorial],YouTube,YouTube - python,48000000,480000,2026-02-26T03:05:09.961784,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for Beginners,YouTube,YouTube - python,5500000,55000,2026-02-26T03:05:09.969135,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
APPRENDRE PYTHON [TUTO PROGRAMMATION COMPLET DÉBUTANT],YouTube,YouTube - python,3900000,39000,2026-02-26T03:05:09.976080,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Full Course for free 🐍,YouTube,YouTube - python,21000000,210000,2026-02-26T03:05:09.983138,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
كورس لغة بايثون في 300 دقيقة | برمجة من الصفر,YouTube,YouTube - python,1100000,11000,2026-02-26T03:05:09.991284,,,50.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 0.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",general
Python for Beginners – Full Course [Programming Tutorial],YouTube,YouTube - python,4200000,42000,2026-02-26T03:05:09.998913,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Python Tutorial for Beginners (with mini-projects),YouTube,YouTube - python,1000000,10000,2026-02-26T03:05:10.007685,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
👩‍💻 Python for Beginners Tutorial,YouTube,YouTube - python,4300000,43000,2026-02-26T03:05:10.016052,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
JavaScript Course for Beginners – Your First Step to Web Development,YouTube,YouTube - javascript,14000000,140000,2026-02-26T03:05:35.477204,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
JavaScript Tutorial Full Course - Beginner to Pro,YouTube,YouTube - javascript,8000000,80000,2026-02-26T03:05:35.486211,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
How to accept JavaScript USER INPUT in 5 minutes 💬,YouTube,YouTube - javascript,197000,1970,2026-02-26T03:05:35.493386,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
100 HTML CSS JavaScript Projects for Beginners in 2026,YouTube,YouTube - javascript,65000,650,2026-02-26T03:05:35.500634,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
Learn JavaScript in 60 Minutes | JavaScript Crash Course | JavaScript Tutorial | Edureka,YouTube,YouTube - javascript,123000,1230,2026-02-26T03:05:35.507858,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
From Zero to Full Stack: Master JavaScript and Create Dynamic Web Apps,YouTube,YouTube - javascript,1000000,10000,2026-02-26T03:05:35.515721,22000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
100+ JavaScript Concepts you Need to Know,YouTube,YouTube - javascript,2800000,28000,2026-02-26T03:05:35.522974,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
JavaScript tutorial for beginners 🌐,YouTube,YouTube - javascript,745000,7450,2026-02-26T03:05:35.529970,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
JavaScript Full Course for free 🌐,YouTube,YouTube - javascript,4800000,48000,2026-02-26T03:05:35.536928,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
JavaScript in 100 Seconds,YouTube,YouTube - javascript,1000000,10000,2026-02-26T03:05:35.543834,22000.0,very_high,77.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",javascript
Data Science Tutorial | Data Science for Beginners | Data Science with Python Tutorial | Simplilearn,YouTube,YouTube - data science,186000,1860,2026-02-26T03:06:27.137087,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Learn Data Science Tutorial - Full Course for Beginners,YouTube,YouTube - data science,4300000,43000,2026-02-26T03:06:27.147659,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science With Python | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,45000,450,2026-02-26T03:06:27.155208,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Statistics For Data Science | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,353000,3530,2026-02-26T03:06:27.162268,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Python Machine Learning Tutorial (Data Science),YouTube,YouTube - data science,3400000,34000,2026-02-26T03:06:27.168950,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Data Science Tutorial | Data Science For Beginners | What is Data Science? | Edureka,YouTube,YouTube - data science,61000,610,2026-02-26T03:06:27.175699,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science Tutorial for Beginners | Edureka,YouTube,YouTube - data science,10000,100,2026-02-26T03:06:27.181949,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science With Python | Python for Data Science | Python Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,404000,4040,2026-02-26T03:06:27.188037,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
What Is Data Science | Data Science Tutorial | Simplilearn,YouTube,YouTube - data science,16000,160,2026-02-26T03:06:27.193631,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
Data Science Live - 1 | Data Science Tutorial For Beginners | Data Science Training | Edureka,YouTube,YouTube - data science,13000,130,2026-02-26T03:06:27.199773,30000.0,very_high,97.9,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 27.900000000000002, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",data-science
