course_id,category,level,level_encoded,num_lectures,num_lessons,content_duration,lesson_type_variety,pct_video_lessons,offers_certificate,price,is_paid,rating,rating_count,quality_label
1,BUSINESS,BEGINNER,0,8,7,3.85,1,0.656,0,13.86,1,3.3,26,0
2,OTHER,INTERMEDIATE,1,87,86,20.0,3,0.879,1,25.88,1,4.8,119,1
3,LANGUAGE,BEGINNER,0,33,32,4.91,4,0.58,1,14.48,1,3.6,41,1
4,MARKETING,INTERMEDIATE,1,18,19,4.11,1,0.929,0,9.99,1,3.4,88,0
5,PROGRAMMING,BEGINNER,0,37,36,11.01,4,0.771,1,9.99,1,4.1,123,1
6,PROGRAMMING,BEGINNER,0,22,22,1.78,1,0.317,0,9.99,1,3.8,118,0
7,PROGRAMMING,INTERMEDIATE,1,88,88,27.68,2,0.534,0,16.8,1,4.5,189,1
8,SCIENCE,ADVANCED,2,9,10,6.55,2,0.645,0,18.9,1,3.7,60,0
9,MARKETING,INTERMEDIATE,1,40,41,8.1,4,0.191,1,37.8,1,4.1,123,1
10,MUSIC,BEGINNER,0,4,5,1.1,1,0.235,0,0.0,0,3.4,231,0
11,PROGRAMMING,BEGINNER,0,151,150,25.97,3,0.1,0,0.0,0,5.0,316,1
12,OTHER,BEGINNER,0,122,122,22.32,3,0.808,1,18.82,1,4.9,32,1
13,SCIENCE,BEGINNER,0,4,5,1.15,1,0.553,0,22.65,1,3.4,98,0
14,PROGRAMMING,BEGINNER,0,14,14,4.32,4,0.715,0,0.0,0,3.3,67,0
15,PROGRAMMING,BEGINNER,0,41,42,11.68,2,0.792,0,9.99,1,3.7,12,1
16,PROGRAMMING,INTERMEDIATE,1,18,19,8.18,4,0.563,1,9.99,1,3.7,566,1
17,DESIGN,ADVANCED,2,66,65,24.76,4,0.148,0,9.99,1,4.1,11,1
18,MARKETING,ADVANCED,2,10,9,3.32,2,0.735,1,14.89,1,3.8,3248,1
19,BUSINESS,BEGINNER,0,19,18,6.73,1,0.979,1,20.28,1,3.5,53,1
20,DESIGN,BEGINNER,0,13,14,17.76,3,0.284,0,9.99,1,3.6,94,0
21,MARKETING,INTERMEDIATE,1,30,29,20.46,1,0.441,1,35.84,1,3.9,90,1
22,PROGRAMMING,BEGINNER,0,39,38,13.09,3,0.646,0,14.75,1,3.8,68,1
23,DESIGN,ADVANCED,2,20,20,10.41,2,0.556,1,16.2,1,3.5,21,1
24,DESIGN,INTERMEDIATE,1,7,8,4.78,3,0.797,0,19.02,1,3.5,12,0
25,BUSINESS,BEGINNER,0,26,27,6.2,4,0.428,0,12.67,1,3.5,461,1
26,LANGUAGE,BEGINNER,0,20,20,6.62,4,0.707,0,9.99,1,3.4,316,1
27,PROGRAMMING,ADVANCED,2,61,62,14.96,3,0.883,0,9.99,1,4.1,15,1
28,BUSINESS,BEGINNER,0,57,56,13.44,2,0.789,1,13.98,1,4.4,83,1
29,MARKETING,BEGINNER,0,22,22,14.95,3,0.774,0,9.99,1,3.6,59,1
30,PROGRAMMING,BEGINNER,0,8,7,2.26,1,0.282,1,0.0,0,3.5,44,0
31,MARKETING,INTERMEDIATE,1,13,14,5.07,4,0.343,0,23.74,1,3.4,7,0
32,PROGRAMMING,BEGINNER,0,66,65,5.23,3,0.894,1,38.14,1,4.9,87,1
33,PROGRAMMING,ADVANCED,2,4,4,0.45,4,0.539,0,15.01,1,3.3,123,0
34,OTHER,INTERMEDIATE,1,25,26,2.36,4,0.617,0,76.99,1,3.6,32,1
35,OTHER,INTERMEDIATE,1,11,10,2.57,4,0.713,0,0.0,0,3.3,91,0
36,SCIENCE,ADVANCED,2,6,6,1.3,3,0.906,1,24.09,1,3.7,87,1
37,DESIGN,INTERMEDIATE,1,36,36,6.13,2,0.446,0,0.0,0,3.6,121,1
38,PROGRAMMING,INTERMEDIATE,1,11,12,4.51,2,0.41,0,9.99,1,3.5,33,0
39,MUSIC,ADVANCED,2,94,94,46.29,2,0.524,0,12.52,1,4.5,46,1
40,BUSINESS,INTERMEDIATE,1,41,41,12.22,1,0.41,0,42.02,1,3.7,67,1
41,PROGRAMMING,INTERMEDIATE,1,6,5,1.27,1,0.867,0,17.54,1,3.3,182,0
42,BUSINESS,BEGINNER,0,15,15,3.55,1,0.894,1,10.24,1,3.4,41,1
43,PROGRAMMING,INTERMEDIATE,1,42,43,20.6,2,0.896,0,9.99,1,3.8,172,1
44,MATH,BEGINNER,0,31,30,15.21,1,0.656,0,25.53,1,3.6,84,1
45,DESIGN,INTERMEDIATE,1,5,4,0.7,2,0.269,1,12.8,1,3.6,195,1
46,PHOTOGRAPHY,ADVANCED,2,176,176,76.14,4,0.681,0,37.58,1,4.5,32,1
47,DESIGN,ADVANCED,2,12,13,6.81,2,0.818,1,15.88,1,3.5,36,1
48,MARKETING,INTERMEDIATE,1,13,12,3.23,1,0.875,0,15.35,1,3.1,30,0
49,MARKETING,BEGINNER,0,12,12,1.16,1,0.489,0,21.25,1,2.8,20,0
50,PROGRAMMING,INTERMEDIATE,1,38,38,5.33,4,0.917,1,0.0,0,3.9,50,1
51,OTHER,ADVANCED,2,25,24,12.47,1,0.657,0,9.99,1,3.8,73,0
52,LANGUAGE,ADVANCED,2,13,13,4.38,1,0.92,0,66.72,1,3.5,563,0
53,OTHER,ADVANCED,2,7,8,3.18,1,0.694,0,19.23,1,3.3,537,0
54,MATH,BEGINNER,0,14,13,6.97,3,0.403,1,9.99,1,3.9,69,1
55,MARKETING,ADVANCED,2,11,11,2.42,4,0.205,0,17.5,1,3.5,126,0
56,OTHER,INTERMEDIATE,1,18,19,4.68,2,0.511,0,19.8,1,3.5,14,0
57,PROGRAMMING,ADVANCED,2,35,35,14.83,2,0.579,1,10.82,1,3.9,132,1
58,PROGRAMMING,INTERMEDIATE,1,9,8,2.13,3,0.65,0,9.99,1,3.4,114,0
59,PROGRAMMING,INTERMEDIATE,1,5,6,1.04,4,0.805,1,16.13,1,3.9,112,1
60,DESIGN,INTERMEDIATE,1,12,12,2.83,1,0.818,0,9.99,1,3.6,46,0
61,BUSINESS,INTERMEDIATE,1,41,41,14.07,1,0.418,0,9.99,1,3.6,129,1
62,DESIGN,BEGINNER,0,11,11,2.71,3,0.653,1,14.66,1,3.7,56,1
63,SCIENCE,BEGINNER,0,160,160,14.77,2,0.678,0,9.99,1,4.8,33,1
64,DESIGN,BEGINNER,0,17,16,1.57,2,0.174,1,31.74,1,3.7,43,1
65,DESIGN,ADVANCED,2,10,11,1.73,3,0.648,0,21.62,1,3.4,110,0
