platform,title,url,query,page,date_scraped,extraction_method,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category,position,price,price_text,rating
Udemy,Complete 2026 Python Bootcamp: Learn Python from Scratch,https://www.udemy.com/course/codewithharry-python/,python programming,1,2026-02-26T02:41:30.295096,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Learn Python Programming - Beginner to Master,https://www.udemy.com/course/learn-python-with-abdul-bari/,python programming,1,2026-02-26T02:41:30.295362,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,python programming,1,2026-02-26T02:41:30.295445,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,[NEW] Python Bootcamp: Beginner to Master Programming,https://www.udemy.com/course/python-programming-for-beginners-with-exercises/,python programming,1,2026-02-26T02:41:30.295516,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 55.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python for Absolute Beginners,https://www.udemy.com/course/python-for-absolute-beginners-u/,python programming,1,2026-02-26T02:41:30.295581,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Total Python: You Can Master Python Programming in 16 Days,https://www.udemy.com/course/total-python/,python programming,1,2026-02-26T02:41:30.295649,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Master Python for Data Handling [2026],https://www.udemy.com/course/master-python-for-data-handling/,python programming,1,2026-02-26T02:41:30.295718,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming for Complete Beginners,https://www.udemy.com/course/mastering-python-basics-a-beginners-guide/,python programming,1,2026-02-26T02:41:30.295781,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python For Everybody : Python Programming MADE EASY,https://www.udemy.com/course/python-programming-tutorial-a-z/,python programming,1,2026-02-26T02:41:30.295847,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,PYTHON: Python Programming (FROM ZERO TO YOUR FIRST JOB),https://www.udemy.com/course/python-python-programming-from-zero-to-your-first-job/,python programming,1,2026-02-26T02:41:30.295911,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming Bootcamp,https://www.udemy.com/course/ultimate-python-tutorial/,python programming,1,2026-02-26T02:41:30.295992,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming: Learn Python from Scratch to AI and ML,https://www.udemy.com/course/python-bootcamp-learn-ai-powered-python-programming/,python programming,1,2026-02-26T02:41:30.296071,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,PYTHON PROGRAMMING: Python From Basics to Data Analysis,https://www.udemy.com/course/python-programming-from-basics-to-data-analysis-x/,python programming,1,2026-02-26T02:41:30.296159,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming Zero to Hero: Learn Python Step by Step,https://www.udemy.com/course/python-programming-zero-to-hero-learn-python-step-by-step/,python programming,1,2026-02-26T02:41:30.296225,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming Course | From Basics to Real-World Skills,https://www.udemy.com/course/python-programming-course-from-basics-to-real-world-skills/,python programming,1,2026-02-26T02:41:30.296288,fallback_html_parse,25000.0,very_high,96.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 18.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,python programming,2,2026-02-26T02:41:49.088489,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python A-Z™: Python For Data Science With Real Exercises!,https://www.udemy.com/course/python-coding/,python programming,2,2026-02-26T02:41:49.088588,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Master Python programming by solving scientific projects,https://www.udemy.com/course/python-scientific-x/,python programming,2,2026-02-26T02:41:49.088663,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python OOP - Object Oriented Programming for Beginners,https://www.udemy.com/course/python-object-oriented-programming-oop/,python programming,2,2026-02-26T02:41:49.088729,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming for Beginners: Learn to Code with Python,https://www.udemy.com/course/python-programming-for-beginners-learn-to-code-with-python/,python programming,2,2026-02-26T02:41:49.088793,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python for Absolute Beginners: Learn Python in a Week!,https://www.udemy.com/course/python-programming-for-absolute-beginners/,python programming,2,2026-02-26T02:41:49.088857,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Selenium Webdriver with PYTHON from Scratch + Frameworks,https://www.udemy.com/course/learn-selenium-automation-in-easy-python-language/,python programming,2,2026-02-26T02:41:49.088921,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,The Complete Generative AI and Python Programming Bootcamp,https://www.udemy.com/course/the-complete-python-programming-and-generative-ai-bootcamp/,python programming,2,2026-02-26T02:41:49.088982,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 45.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Learn Python Programming,https://www.udemy.com/course/learn-python-programming-python-3/,python programming,2,2026-02-26T02:41:49.089049,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python for Beginners with Telusko,https://www.udemy.com/course/python-tutorials-for-by-navinreddy/,python programming,2,2026-02-26T02:41:49.089107,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming: Beginner to Professional Complete Course,https://www.udemy.com/course/python-programming-complete-course/,python programming,2,2026-02-26T02:41:49.089165,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,"Python - Complete Python, Django, Data Science and ML Guide",https://www.udemy.com/course/python-complete-guide/,python programming,2,2026-02-26T02:41:49.089224,fallback_html_parse,25000.0,very_high,98.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 20.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,PYTHON PROGRAMMING: Python From Basics to Data Analysis,https://www.udemy.com/course/python-programming-from-basics-to-data-analysis-x/,python programming,2,2026-02-26T02:41:49.089292,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming Zero to Hero: Learn Python Step by Step,https://www.udemy.com/course/python-programming-zero-to-hero-learn-python-step-by-step/,python programming,2,2026-02-26T02:41:49.089355,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,Python Programming Course | From Basics to Real-World Skills,https://www.udemy.com/course/python-programming-course-from-basics-to-real-world-skills/,python programming,2,2026-02-26T02:41:49.089417,fallback_html_parse,25000.0,very_high,96.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 18.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python,,,,
Udemy,The Complete Full-Stack Web Development Bootcamp,https://www.udemy.com/course/the-complete-web-development-bootcamp/,javascript web development,1,2026-02-26T02:42:20.371553,fallback_html_parse,,,75.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 0.0, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",programming,,,,
Udemy,Complete web development course,https://www.udemy.com/course/web-dev-master/,javascript web development,1,2026-02-26T02:42:20.371729,fallback_html_parse,,,50.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 0.0, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",programming,,,,
