platform,title,url,query,page,date_scraped,extraction_method,estimated_salary_boost,demand_level,roi_score,score_breakdown,skill_category
Udemy,Complete 2026 Python Bootcamp: Learn Python from Scratch,https://www.udemy.com/course/codewithharry-python/,python programming,1,2026-02-26T08:49:21.017359,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Learn Python Programming Masterclass,https://www.udemy.com/course/python-the-complete-python-developer-course/,python programming,1,2026-02-26T08:49:21.017532,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Learn Python Programming - Beginner to Master,https://www.udemy.com/course/learn-python-with-abdul-bari/,python programming,1,2026-02-26T08:49:21.017623,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,[NEW] Python Bootcamp: Beginner to Master Programming,https://www.udemy.com/course/python-programming-for-beginners-with-exercises/,python programming,1,2026-02-26T08:49:21.017706,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 55.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Python for Absolute Beginners,https://www.udemy.com/course/python-for-absolute-beginners-u/,python programming,1,2026-02-26T08:49:21.017785,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Complete Python With DSA Bootcamp + LEETCODE Exercises,https://www.udemy.com/course/complete-python-dsa-bootcamp/,python programming,1,2026-02-26T08:49:21.017858,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Python Programming for Complete Beginners,https://www.udemy.com/course/mastering-python-basics-a-beginners-guide/,python programming,1,2026-02-26T08:49:21.017932,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Complete Python Bootcamp For Everyone From Zero to Hero 2025,https://www.udemy.com/course/python-foreveryone/,python programming,1,2026-02-26T08:49:21.018019,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 25.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,Master Python for Data Handling [2026],https://www.udemy.com/course/master-python-for-data-handling/,python programming,1,2026-02-26T08:49:21.018092,fallback_html_parse,25000.0,very_high,100.0,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 30.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
Udemy,PYTHON: Python Programming (FROM ZERO TO YOUR FIRST JOB),https://www.udemy.com/course/python-python-programming-from-zero-to-your-first-job/,python programming,1,2026-02-26T08:49:21.018159,fallback_html_parse,25000.0,very_high,78.5,"{'base_score': 30.0, 'demand_score': 0.0, 'skill_category_score': 28.5, 'keyword_score': 0.0, 'engagement_score': 0.0, 'provider_score': 0.0, 'price_value_score': 20}",python
