date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:08:59	262891/262891	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:15%20GMT	https://akademi.dexignlab.com/xhtml/index-2.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/index-2.html	(from )
02:08:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Jan%202026%2001:08:59%20GMT	https://akademi.dexignlab.com/robots.txt		(from )
02:08:59	508/508	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202023%2013:41:42%20GMT	https://akademi.dexignlab.com/xhtml/images/favicon.png	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/favicon.png	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:08:59	57095/57095	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2000:32:24%20GMT	https://akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:08:59	141805/141805	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Aug%202025%2006:54:14%20GMT	https://akademi.dexignlab.com/xhtml/social-image.png	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/social-image.png	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:00	11120/11120	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2018:49:58%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:00	10294/10294	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2017:12:34%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/bootstrap-select-country/css/bootstrap-select-country.min.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:00	4048/4048	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2003:22:46%20GMT	https://akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:00	15731/15731	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202019%2009:56:50%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/datepicker/css/bootstrap-datepicker.min.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:00	14996/14996	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202023%2017:48:14%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:01	13920/13920	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2004:15:00%20GMT	https://akademi.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/vendor/swiper/css/swiper-bundle.min.css	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:02	262695/262695	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:15%20GMT	https://akademi.dexignlab.com/xhtml/index.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/index.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:02	22672/22672	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2005:18:02%20GMT	https://akademi.dexignlab.com/xhtml/images/avatar/1.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/avatar/1.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:02	22692/22692	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2005:19:54%20GMT	https://akademi.dexignlab.com/xhtml/images/avatar/2.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/avatar/2.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:02	20508/20508	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2005:20:50%20GMT	https://akademi.dexignlab.com/xhtml/images/avatar/3.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/avatar/3.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:02	23159/23159	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2005:21:28%20GMT	https://akademi.dexignlab.com/xhtml/images/avatar/4.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/avatar/4.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:03	21261/21261	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Apr%202022%2005:22:00%20GMT	https://akademi.dexignlab.com/xhtml/images/avatar/5.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/avatar/5.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:03	65958/65958	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20Aug%202022%2002:57:00%20GMT	https://akademi.dexignlab.com/xhtml/images/user.jpg	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/images/user.jpg	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:04	94150/94150	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:00%20GMT	https://akademi.dexignlab.com/xhtml/chat.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/chat.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:04	107596/107596	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:34:55%20GMT	https://akademi.dexignlab.com/xhtml/app-profile.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/app-profile.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:04	7500/7500	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:21%20GMT	https://akademi.dexignlab.com/xhtml/page-login.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/page-login.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:06	342208/342208	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:24%20GMT	https://akademi.dexignlab.com/xhtml/student.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/student.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:06	179808/179808	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:10%20GMT	https://akademi.dexignlab.com/xhtml/finance.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/finance.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:06	534949/534949	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:07%20GMT	https://akademi.dexignlab.com/xhtml/email-inbox.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/email-inbox.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:06	118935/118935	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:23%20GMT	https://akademi.dexignlab.com/xhtml/student-detail.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/student-detail.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:07	83032/83032	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:34:52%20GMT	https://akademi.dexignlab.com/xhtml/add-student.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/add-student.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
02:09:07	99828/99828	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:25%20GMT	https://akademi.dexignlab.com/xhtml/teacher-detail.html	D:/template/dashboard/dashboaord%20template/akademi.dexignlab.com/xhtml/teacher-detail.html	(from https://akademi.dexignlab.com/xhtml/index-2.html)
